image,shape,mesh-resolution,scaling,max-edge-factor,outer-edge-factor,offset-inner-factor,offset-outer-factor,prior-range-prob,prior-range-lower,prior-sigma-prob,prior-sigma-upper,ssim,mse,mean_residual,sigma
combined_cube.fits[0],none,20,log,8,1.2,0.5,2.0,0.1,2.0,0.1,1.0,0.3938,3983343.790687474,-3.841789968299693,512.420995232971
combined_cube.fits[0],none,20,log,8,1.2,0.5,2.0,0.1,2.0,0.1,2.0,0.4198,3551016.8291850816,-1.574966188406638,378.6941409834823
combined_cube.fits[0],none,20,log,8,1.2,0.5,2.0,0.1,2.0,0.1,3.0,0.4477,3208634.733274092,-1.0326577299739248,339.86796406840557
combined_cube.fits[0],none,20,log,8,1.2,0.5,2.0,0.1,2.0,0.2,1.0,0.3729,4699847.592823521,-3.568741844697102,506.23905487376186
combined_cube.fits[0],none,20,log,8,1.2,0.5,2.0,0.1,2.0,0.2,2.0,0.4408,3189988.9494076064,-1.2430828116779151,348.95489931201416
combined_cube.fits[0],none,20,log,8,1.2,0.5,2.0,0.1,2.0,0.2,3.0,0.4595,2935756.669908796,-0.9652039119530504,321.66152076269043
combined_cube.fits[0],none,20,log,8,1.2,0.5,2.0,0.1,5.0,0.1,1.0,0.6177,1270660.5611585842,-0.11642519000711837,203.57004935076193
combined_cube.fits[0],none,20,log,8,1.2,0.5,2.0,0.1,5.0,0.1,2.0,0.536,1965010.2705202405,-0.24339111984931483,227.33002839793622
combined_cube.fits[0],none,20,log,8,1.2,0.5,2.0,0.1,5.0,0.1,3.0,0.7555,669869.9285248728,0.547137506078911,159.35890127678636
combined_cube.fits[0],none,20,log,8,1.2,0.5,2.0,0.1,5.0,0.2,1.0,0.5823,1490448.716628789,-0.5120473323193276,242.16691555908793
combined_cube.fits[0],none,20,log,8,1.2,0.5,2.0,0.1,5.0,0.2,3.0,0.5512,1807892.4624134435,-0.18570920377132033,219.07032650152405
combined_cube.fits[0],none,20,log,8,1.2,0.5,2.0,0.2,1.0,0.1,1.0,0.2958,9894794.983513944,-18.604747504689705,1648.8270536471691
combined_cube.fits[0],none,20,log,8,1.2,0.5,2.0,0.2,1.0,0.1,2.0,0.3979,4047176.774032806,-1.9549429260512343,417.92733547729995
combined_cube.fits[0],none,20,log,8,1.2,0.5,2.0,0.2,1.0,0.1,3.0,0.4407,3337041.397040352,-1.1194021795823494,353.5608350009791
combined_cube.fits[0],none,20,log,8,1.2,0.5,2.0,0.2,1.0,0.2,1.0,0.4586,2860088.176199664,-1.112347269411489,326.83843829542514
combined_cube.fits[0],none,20,log,8,1.2,0.5,2.0,0.2,1.0,0.2,2.0,0.3392,6293033.616130937,-4.908964451878984,612.2856499923843
combined_cube.fits[0],none,20,log,8,1.2,0.5,2.0,0.2,1.0,0.2,3.0,0.4358,3392863.495556113,-1.2061856131771174,361.55844760020915
combined_cube.fits[0],none,20,log,8,1.2,0.5,2.0,0.2,2.0,0.1,1.0,0.403,3874218.867849027,-1.9995095488644135,408.913901036734
combined_cube.fits[0],none,20,log,8,1.2,0.5,2.0,0.2,2.0,0.1,2.0,0.4594,2882635.6484063417,-1.0452108122940895,324.79626323864125
combined_cube.fits[0],none,20,log,8,1.2,0.5,2.0,0.2,2.0,0.1,3.0,0.4437,3161883.723946067,-1.1853160491814423,345.8394520609241
combined_cube.fits[0],none,20,log,8,1.2,0.5,2.0,0.2,2.0,0.2,2.0,0.483,2495293.0714943255,-0.9346220679489619,301.7639872440642
combined_cube.fits[0],none,20,log,8,1.2,0.5,2.0,0.2,2.0,0.2,3.0,0.4471,3161934.971205282,-1.088090175150347,341.3709700082102
combined_cube.fits[0],none,20,log,8,1.2,0.5,2.0,0.2,5.0,0.1,1.0,0.5104,2097733.15726487,-1.0540199524875995,298.4135924557603
combined_cube.fits[0],none,20,log,8,1.2,0.5,2.0,0.2,5.0,0.1,2.0,0.8388,421309.5285048612,0.13420010279328104,179.95364199556923
combined_cube.fits[0],none,20,log,8,1.2,0.5,2.0,0.2,5.0,0.1,3.0,0.6042,1377829.426038736,0.06733802112427818,189.1854333977809
combined_cube.fits[0],none,20,log,8,1.2,0.5,2.0,0.2,5.0,0.2,1.0,0.5383,1858817.43861973,-0.6546941740990972,262.2494430107334
combined_cube.fits[0],none,20,log,8,1.2,0.5,2.0,0.2,5.0,0.2,2.0,0.5213,2024039.67044527,-0.758412293073489,274.77885862152226
combined_cube.fits[0],none,20,log,8,1.2,0.5,2.0,0.2,5.0,0.2,3.0,0.5864,1510783.9393596018,0.012483423738072888,195.86546054564147
combined_cube.fits[0],none,20,log,8,1.2,0.5,3.0,0.1,1.0,0.1,1.0,0.32,7655062.65780436,-8.62727060159701,861.687880013503
combined_cube.fits[0],none,20,log,8,1.2,0.5,3.0,0.1,1.0,0.1,2.0,0.3689,4896145.670493574,-2.886670757691506,486.8204742372197
combined_cube.fits[0],none,20,log,8,1.2,0.5,3.0,0.1,1.0,0.1,3.0,0.4051,3898302.3277460905,-1.7573048584805666,405.5777663176821
combined_cube.fits[0],none,20,log,8,1.2,0.5,3.0,0.1,1.0,0.2,1.0,0.4406,3038829.6685222355,-1.679642743807548,362.81501238721995
combined_cube.fits[0],none,20,log,8,1.2,0.5,3.0,0.1,1.0,0.2,2.0,0.4585,3072279.329426146,-0.8674056128613181,322.7484907956596
combined_cube.fits[0],none,20,log,8,1.2,0.5,3.0,0.1,1.0,0.2,3.0,0.3813,4516974.013377456,-2.2724710292349193,452.8018997284106
